id,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
53,0.01635456,-0.53505683,-0.09737492,-1.94909060,0.31928927,1.18920517,0.82744843
54,-0.26458669,-0.26379162,-0.44254690,-1.94689476,0.07696074,1.32458544,0.14917716
55,0.02370532,-0.13115975,-0.01802132,-1.58385932,0.37011036,1.28623807,0.88887703
56,0.09212452,-0.31870589,0.03699621,-1.71574843,0.39743477,1.25863075,1.05033612
57,-0.09133083,-0.21051010,-0.16906178,-1.77749491,0.28876984,1.30408275,0.60481232
58,0.07000890,-0.07569569,0.04088363,-1.49870801,0.40606514,1.29272997,0.98128444
59,-0.11437833,-0.36529732,-0.25710106,-1.91727614,0.20924161,1.25508070,0.51463753
60,-0.26422822,0.11925493,-0.22014424,-1.54584241,0.25157419,1.34701812,0.33050174
61,-0.23532613,-0.49222162,-0.51787281,-2.10542297,0.05327941,1.25149953,0.18327250
62,0.10114118,-0.11386402,0.13632739,-1.46574199,0.44469288,1.27344954,1.16893935
63,-0.16506420,-0.16076675,-0.20342666,-1.76636875,0.25729340,1.30840099,0.48137915
64,-0.11959721,-0.25519589,-0.25056326,-1.83917058,0.23028041,1.28873789,0.49254149
65,-0.08587132,0.03331869,-0.08832867,-1.54085779,0.33651412,1.32557547,0.65002799
66,0.24443728,0.26140669,0.28834680,-1.04454029,0.50974190,1.34336257,1.46302414
67,-0.02582957,-0.33798501,-0.10657325,-1.84546828,0.32368979,1.25971270,0.76374471
68,0.11192235,-0.60178697,0.02042211,-1.90645349,0.39535299,1.15874517,1.07552207
69,-0.02282266,-0.36371869,-0.13447464,-1.85441506,0.31258032,1.24165738,0.73615438
70,-0.16371445,-0.08896351,-0.23669985,-1.71546900,0.23788862,1.32627940,0.42968476
71,-0.11517154,-0.33961558,-0.25364941,-1.90726173,0.23329490,1.29730940,0.52734894
72,-0.19858687,-0.33676177,-0.35932958,-1.93400872,0.12897517,1.26424038,0.30769473
73,-0.02448207,-0.15359218,-0.07392495,-1.66748679,0.35529318,1.30053067,0.77297300
74,-0.14334106,-0.51772517,-0.33326077,-2.05088115,0.14450946,1.21087551,0.44520581
75,-0.08350742,-0.40067494,-0.22480550,-1.94058931,0.23226736,1.24955130,0.56073296
76,0.09064923,-0.33062840,0.01263188,-1.72475135,0.39488471,1.24555230,1.01885700
77,0.16905966,0.07783312,0.19407055,-1.24409473,0.46373430,1.28625405,1.24613535
78,-0.07946320,-0.47532248,-0.20972231,-1.98025453,0.23762096,1.22139883,0.61278075
79,0.13537017,-0.22541265,0.10424893,-1.55984890,0.43783098,1.24182475,1.17863607
80,-0.01144199,0.07458614,0.01167528,-1.41168749,0.36685365,1.31383121,0.83066171
81,0.06038982,-0.25540930,0.00635859,-1.69225681,0.38911209,1.26158893,0.95510584
82,-0.23218453,-0.20645201,-0.35477448,-1.86834192,0.14623201,1.31098902,0.24613984
83,-0.08145455,-0.26247236,-0.19602150,-1.82592583,0.27485567,1.27445734,0.57931238
84,0.01247594,-0.35809433,-0.08738974,-1.81875885,0.34450033,1.24561059,0.82017225
85,-0.09197721,-0.30313608,-0.21526343,-1.85861075,0.25657851,1.28582132,0.55954856
86,-0.10375363,-0.36549348,-0.22490048,-1.90957618,0.23628016,1.25649607,0.54866773
87,-0.12052996,-0.24930155,-0.23182946,-1.84542155,0.23897187,1.29854858,0.49899268
88,-0.18916756,-0.12147889,-0.28501153,-1.77139962,0.20494083,1.32693577,0.34928626
89,-0.15354188,-0.14198333,-0.22523305,-1.75525582,0.25525638,1.31093967,0.46143609
90,0.16722843,0.12073284,0.20064268,-1.21121979,0.46367860,1.30580509,1.23738170
91,-0.04574305,-0.62548321,-0.21228778,-2.08149052,0.22237632,1.15771616,0.67194670
92,-0.01272181,-0.29361415,-0.12628525,-1.80843484,0.32383344,1.26940572,0.74642295
93,-0.00316878,-0.10753587,-0.04451735,-1.60912216,0.36607838,1.30354011,0.83188385
94,-0.12841511,-0.21796855,-0.23040965,-1.81383026,0.25107628,1.29362833,0.49559122
95,0.06948963,-0.23010188,0.01941745,-1.64091778,0.39553544,1.26495707,0.96859413
96,-0.19088086,-0.26201960,-0.29971039,-1.86305654,0.18670730,1.30217278,0.36122179
97,-0.07712498,-0.06452273,-0.08787481,-1.61245108,0.34148648,1.31985700,0.69588512
98,-0.07258855,-0.37941283,-0.19008759,-1.90666354,0.26030445,1.25873625,0.61456233
99,-0.21403062,-0.01204052,-0.22621450,-1.66031349,0.25720298,1.32941449,0.38614237
100,-0.14781526,-0.11826898,-0.21158725,-1.73216617,0.25997496,1.32136095,0.47861248
101,-0.18279049,-0.12262377,-0.24424142,-1.75650144,0.23938754,1.32608855,0.41673577
102,0.01972353,-0.51483506,-0.09711599,-1.93592489,0.32937226,1.21476758,0.83592147
103,0.09823684,-0.32223108,0.03071661,-1.70407391,0.40307611,1.23500657,1.03818452
104,0.00514732,-0.57640642,-0.12117701,-1.98563850,0.29604468,1.17625463,0.80864626
105,0.00944839,0.04228881,0.01832230,-1.43789303,0.38897976,1.30376852,0.90330827
106,-0.08015355,-0.20981175,-0.17647740,-1.77151716,0.29200625,1.29457831,0.60955274
107,0.01322514,-0.56200540,-0.12435036,-1.98321879,0.30236509,1.20524490,0.80512595
108,0.00919822,-0.50495917,-0.11262938,-1.94381082,0.32139370,1.21357787,0.81136394
109,0.12608172,-0.23526238,0.08004466,-1.58726716,0.43356100,1.25824010,1.12960529
110,-0.07862964,-0.39725775,-0.21026665,-1.91295516,0.25225240,1.25316751,0.57434249
111,-0.18410039,0.12371929,-0.11065029,-1.50381279,0.33875909,1.36888206,0.55322307
112,0.08087540,-0.44689348,-0.01742685,-1.83178246,0.38129053,1.22104335,0.98375100
113,-0.29165789,-0.15658885,-0.42416644,-1.86632383,0.09424558,1.30805898,0.08658178
114,-0.12077713,-0.28966072,-0.23033178,-1.86330020,0.24236982,1.28680301,0.51515788
115,-0.02138919,-0.00254302,-0.02297390,-1.50482643,0.36576208,1.30454326,0.83363569
116,-0.12070546,-0.37893069,-0.28046283,-1.94256938,0.18738346,1.24623835,0.47430998
117,0.03106809,-0.04658796,0.01248666,-1.50408411,0.38585648,1.28830433,0.94124633
118,-0.16965006,-0.42740604,-0.38175005,-2.00196028,0.11414920,1.23582923,0.35538459
119,-0.06476098,-0.29034737,-0.14948875,-1.82619846,0.29787445,1.28494287,0.66356081
120,-0.23909014,-0.17675395,-0.37805647,-1.85908794,0.12522051,1.32359636,0.20033418
121,-0.24617308,-0.08228272,-0.32781643,-1.74808192,0.18540928,1.32815421,0.22027098
122,-0.35339004,0.04255923,-0.33634970,-1.69984293,0.17997409,1.35004485,0.14117742
123,-0.01751675,-0.17395064,-0.05362260,-1.66527343,0.33684173,1.29059863,0.81837571
124,-0.01399039,0.10972668,0.01085899,-1.38871276,0.38153490,1.31156373,0.84386450
125,-0.23746626,-0.27863044,-0.38739771,-1.93462169,0.11962892,1.29939318,0.22279094
126,-0.01344667,-0.20389955,-0.07607103,-1.72008765,0.34237835,1.28859997,0.77605498
127,-0.31270254,-0.04547213,-0.34580833,-1.73860884,0.16378637,1.33370388,0.15470204
128,-0.06280385,-0.19445848,-0.13688424,-1.73397148,0.31278941,1.29247141,0.65675414
129,-0.06605957,-0.19366163,-0.14248705,-1.74057186,0.31131613,1.29645956,0.65377212
130,-0.26521504,-0.17960517,-0.38990724,-1.86107016,0.11173128,1.31291389,0.15584472
131,-0.04745829,-0.55601269,-0.20587468,-2.02803588,0.23136723,1.18447554,0.65775061
132,-0.15107846,-0.35663438,-0.33034131,-1.95767200,0.15600221,1.27231884,0.37264293
133,-0.11355086,-0.25952727,-0.23141700,-1.84034383,0.23895471,1.29441679,0.50609684
134,-0.19341895,-0.16166602,-0.29458964,-1.79903710,0.19055413,1.31004524,0.34577501
135,-0.13519610,-0.06063940,-0.15983552,-1.65901244,0.28273013,1.33450270,0.56252760
136,0.00819266,-0.26173311,-0.05252793,-1.72225559,0.34115711,1.26057088,0.85050625
137,0.12410638,0.03922641,0.11321387,-1.33476925,0.42458078,1.29407287,1.12796175
138,-0.03448159,-0.09149744,-0.04701634,-1.60472178,0.35464817,1.30844569,0.77097464
139,-0.14945434,0.11759321,-0.10600699,-1.48938620,0.33645344,1.34424293,0.56366396
140,0.00961988,-0.27611113,-0.06117117,-1.74230134,0.35652846,1.27208507,0.84541601
141,-0.21486196,-0.00759965,-0.22505629,-1.64934790,0.23410566,1.34690988,0.40656430
142,0.11626860,-0.37430501,0.02845616,-1.74527490,0.40423951,1.25538301,1.05720627
143,-0.04072491,0.05355065,-0.02388109,-1.46983278,0.36392462,1.32096446,0.79762417
144,-0.09713027,-0.19003093,-0.16092381,-1.75034261,0.29671127,1.29654562,0.60847527
145,-0.13863170,-0.33349597,-0.29096681,-1.90670300,0.18776117,1.27110243,0.43767768
146,-0.17449725,-0.33418429,-0.34881416,-1.94735253,0.14276411,1.28764904,0.33194774
147,0.04459827,-0.18686599,-0.00401701,-1.63560045,0.38953850,1.28177321,0.92325461
148,-0.07392406,0.16256401,-0.01611082,-1.34980428,0.37002215,1.32543230,0.76922184
149,-0.11290789,-0.65083069,-0.34458342,-2.14039516,0.13877957,1.15706801,0.47788167
150,0.10955173,-0.43676320,0.02064704,-1.78035080,0.41012469,1.21885669,1.06399584
151,-0.20756240,0.26755384,-0.08504412,-1.34702790,0.32993537,1.32815886,0.54153615
152,-0.13769011,-0.17057401,-0.20795757,-1.76033890,0.25345391,1.31203640,0.50935030
153,0.15062341,0.12610504,0.18987331,-1.21594250,0.45890349,1.30120075,1.19997644
154,-0.11506449,-0.25066736,-0.22683224,-1.83080029,0.24363439,1.29840386,0.51075953
155,-0.21652631,-0.35027871,-0.42053843,-1.96654809,0.07993953,1.26351762,0.23686381
156,0.19025528,-0.34497339,0.13685703,-1.62140012,0.45937356,1.20606387,1.27337551
157,-0.18832101,-0.06183721,-0.22746611,-1.69845545,0.25705081,1.31422698,0.41419649
158,-0.01899016,0.19672894,0.03794418,-1.30741870,0.39553621,1.31219029,0.84947902
159,-0.26940846,-0.36421841,-0.49716967,-2.02008867,0.01952893,1.28104699,0.13331835
160,-0.09124982,-0.13136339,-0.14706886,-1.70246613,0.30037165,1.31632519,0.63410872
161,-0.08621925,-0.11714756,-0.12161122,-1.68509400,0.31071475,1.32486641,0.64195800
162,-0.09652360,-0.04742509,-0.11545179,-1.62162840,0.33369076,1.32108986,0.63154370
163,-0.32459664,0.21979228,-0.20724076,-1.49376237,0.28175691,1.36351812,0.31903958
164,-0.15744810,-0.20990837,-0.25488943,-1.82516491,0.21915703,1.29916656,0.43574113
165,-0.12279278,-0.23571667,-0.21150804,-1.82267678,0.25799081,1.31042206,0.52023083
166,-0.06322590,-0.14659955,-0.11439135,-1.70033681,0.32545111,1.30228853,0.67946953
167,0.06394543,-0.43529546,-0.03557091,-1.82407796,0.35716936,1.21358168,0.94300014
168,-0.19843662,-0.07338800,-0.25003532,-1.72539389,0.23836713,1.33170533,0.37707514
169,-0.05025634,-0.36062878,-0.15469652,-1.86594796,0.29508728,1.26931286,0.67792559
170,-0.04511453,-0.28941596,-0.13467795,-1.80334318,0.31054881,1.27178085,0.69809985
171,-0.10146052,-0.12502523,-0.14932880,-1.70164311,0.30083850,1.31685293,0.58657449
172,-0.14231008,-0.34350282,-0.28093874,-1.91068506,0.19853076,1.27518499,0.44998580
173,-0.29771802,-0.13904853,-0.40315163,-1.84613311,0.11563875,1.33550501,0.12856810
174,-0.18892723,-0.08388972,-0.24490717,-1.73019564,0.24145906,1.33149493,0.38591295
175,0.00426565,-0.40004849,-0.10189866,-1.86979759,0.32251486,1.24097741,0.79369742
176,0.01286553,-0.22977887,-0.05431680,-1.70964003,0.35584798,1.27425897,0.84313887
177,-0.00144222,-0.21385458,-0.05734833,-1.70901084,0.36026609,1.28336895,0.82278460
178,-0.07246076,-0.62145758,-0.25196511,-2.09409761,0.19214612,1.17606664,0.59543431
179,0.07908104,-0.58112210,-0.04080871,-1.92816389,0.37223840,1.17827761,0.97578818
180,-0.40144950,0.25527212,-0.26670247,-1.47721660,0.22667904,1.33476913,0.13607827
181,-0.12816021,-0.06655651,-0.15443248,-1.65733063,0.29003045,1.33885539,0.57564068
182,-0.15618205,-0.35149691,-0.32020342,-1.93686306,0.16046701,1.27161586,0.39368850
183,-0.30188304,0.02356227,-0.28117505,-1.65052235,0.21303931,1.32764685,0.23389919
184,0.02939507,-0.24245548,-0.03371047,-1.69550216,0.36603022,1.26420569,0.89570135
185,-0.21044795,-0.15572013,-0.32120290,-1.81029499,0.17020188,1.32364047,0.28547072
186,-0.09781115,-0.42935458,-0.25042129,-1.95503187,0.21816228,1.22087836,0.54870141
187,-0.03108904,-0.35169509,-0.13679025,-1.86423194,0.30753547,1.25044560,0.72074908
188,-0.23821206,-0.39491016,-0.48662579,-2.05645514,0.08083840,1.31187940,0.16354139
189,0.06523046,-0.10895783,0.05217279,-1.51628280,0.40623519,1.26355302,1.02162802
190,0.02104969,-0.43029866,-0.07060202,-1.86504173,0.34429967,1.23596597,0.85382169
191,-0.03953439,-0.22308499,-0.11282783,-1.75525939,0.33678848,1.28600729,0.72403038
192,0.15868816,-0.19245514,0.13624606,-1.50107872,0.46383402,1.26082444,1.21566105
193,0.07202813,-0.33894321,-0.00490078,-1.74175262,0.38258517,1.24206698,0.97410315
194,-0.28546417,0.11372991,-0.22562724,-1.57221889,0.26278684,1.33940494,0.32125956
195,-0.15557186,-0.03048223,-0.18670332,-1.65414965,0.27532068,1.33200240,0.47231549
196,-0.17594197,-0.39244542,-0.37404177,-1.99334049,0.11459041,1.25757825,0.30690068
197,-0.03986096,-0.24011624,-0.11883157,-1.77952194,0.31428596,1.28658581,0.70031697
198,-0.11928762,-0.37481809,-0.27681816,-1.92664826,0.19702774,1.24252307,0.48251683
199,-0.00666359,-0.35286835,-0.11044199,-1.83819425,0.32498077,1.25009573,0.76378089
200,-0.01042977,-0.38700053,-0.13225704,-1.88701618,0.30225059,1.24424064,0.73409808
201,-0.04167452,-0.35378501,-0.14255551,-1.87077439,0.30013609,1.26928568,0.69194430
202,-0.12305766,-0.49682876,-0.30743954,-2.02672863,0.16217324,1.22681880,0.46699220
203,0.00341900,-0.14484094,-0.04478545,-1.62795722,0.36331347,1.28235781,0.84934461
204,0.05670331,-0.21870723,-0.00411902,-1.65362227,0.39514166,1.26685929,0.94662386
205,0.01197536,-0.42919505,-0.08606520,-1.87413418,0.33830720,1.21487772,0.82775080
206,-0.25752267,-0.04642036,-0.29598296,-1.71302211,0.19694802,1.32187879,0.26691663
207,0.08954799,-0.00702078,0.06675483,-1.40479684,0.39964899,1.29344416,1.03451538
208,0.05649669,-0.33395410,-0.02785371,-1.75330865,0.37954164,1.25216615,0.94383448
209,-0.10786068,0.02196645,-0.10533304,-1.57122433,0.32236949,1.34155560,0.64770734
210,0.22652012,-0.51132834,0.18380842,-1.69579399,0.49450734,1.17598403,1.39463615
211,0.00473429,-0.13174491,-0.02242955,-1.65504980,0.37758452,1.31482089,0.87279266
212,-0.43736982,-0.05180469,-0.47582567,-1.87794507,0.03133412,1.39427161,-0.09475502
213,-0.09572394,-0.01368857,-0.10780723,-1.57329237,0.32793814,1.32319736,0.62997371
214,0.20176098,-0.07965094,0.16390643,-1.38301969,0.46749780,1.27750111,1.30732989
215,-0.23610535,-0.03820091,-0.28855971,-1.72028387,0.20359753,1.33684540,0.29383481
216,-0.18301673,-0.20036364,-0.29794359,-1.82528937,0.18428996,1.30399716,0.36142904
217,-0.03780201,-0.03857042,-0.05102558,-1.56032610,0.35795686,1.31104112,0.77185589
218,0.12751293,-0.05899338,0.13095766,-1.42129266,0.43690380,1.27275383,1.16337514
219,-0.04837999,-0.05990551,-0.07204998,-1.59590876,0.34820160,1.31577051,0.74127156
220,-0.13724123,-0.16960058,-0.21334654,-1.77774274,0.26057503,1.31935561,0.48939979
221,-0.04387921,-0.56213218,-0.23236069,-2.04155135,0.20305298,1.15509677,0.61914331
222,-0.14081003,-0.35377461,-0.29102758,-1.92340839,0.18328282,1.25181162,0.43877757
223,-0.18435138,-0.20940590,-0.30215731,-1.83906758,0.19182934,1.31267631,0.35406977
224,-0.28573832,-0.28839821,-0.47562444,-1.96000993,0.03776324,1.29076648,0.10415551
225,-0.05411215,-0.20161635,-0.13095379,-1.74638474,0.32025129,1.29451048,0.68848389
226,-0.21406490,-0.32190531,-0.37851343,-1.93959391,0.11198257,1.27268493,0.27104437
227,0.04028553,-0.24477045,-0.02100382,-1.68352365,0.37715033,1.27242017,0.92243034
228,0.01021731,-0.12750740,-0.01671623,-1.61535680,0.37980157,1.29603648,0.86675662
229,0.04544775,-0.48971659,-0.07534627,-1.89234316,0.33782086,1.20724046,0.88451678
230,-0.22328120,-0.37181967,-0.40773764,-2.03242540,0.10448305,1.30980790,0.24171568
231,-0.20399174,0.02419236,-0.19277531,-1.61167789,0.28232980,1.33824003,0.43884015
232,-0.00973390,-0.27970836,-0.08343215,-1.76221502,0.34630138,1.26408970,0.80136997
233,-0.03788967,-0.25924635,-0.10268771,-1.75881970,0.32268324,1.27198672,0.74316037
234,-0.00649153,-0.79233003,-0.18226475,-2.15939307,0.23506494,1.15315592,0.76383877
235,-0.16533366,-0.29258680,-0.27474317,-1.88093436,0.19957708,1.29174888,0.42313910
236,-0.06991009,-0.02590148,-0.07425586,-1.58039498,0.34125260,1.32865155,0.71377403
237,0.02463014,-0.19707838,-0.02588059,-1.66877615,0.38679793,1.27964008,0.88703221
238,-0.16279331,-0.05397869,-0.19440967,-1.67515123,0.28058770,1.32018173,0.47372162
239,-0.34626243,0.11370505,-0.28187624,-1.59951699,0.21841863,1.33847249,0.22526510
240,-0.19490132,-0.16852640,-0.30570054,-1.80972862,0.18256053,1.31336725,0.33288074
241,0.02831779,-0.18181512,-0.01943412,-1.64338815,0.38256857,1.28286636,0.88684523
242,-0.00430453,-0.67057550,-0.15716511,-2.06885815,0.27865556,1.16400599,0.78021061
243,-0.07387951,-0.02772820,-0.08294728,-1.58881223,0.34088168,1.32801807,0.69350815
244,-0.22509453,-0.32576010,-0.38706577,-1.94865286,0.10802072,1.27541387,0.24764480
245,0.06054977,-0.18383309,0.01863407,-1.59494555,0.40301666,1.27449191,0.98560876
246,0.06054959,-0.52162939,-0.04322860,-1.90300918,0.37063727,1.19431841,0.94194537
247,-0.07930583,-0.29137099,-0.18447584,-1.84275711,0.27765432,1.26854026,0.60766226
248,0.11721976,-0.00260612,0.12756106,-1.37504256,0.43516001,1.29743361,1.11860096
249,-0.15485239,-0.29808047,-0.26956952,-1.88811076,0.20388590,1.28214324,0.44288468
250,-0.08157009,-0.23966202,-0.16456014,-1.79771531,0.28963691,1.31579244,0.62855405
251,-0.05561115,-0.37335253,-0.17674381,-1.90481508,0.26878974,1.26107144,0.63260472
252,-0.00618386,-0.61293030,-0.14252186,-2.02301931,0.28516746,1.18080008,0.77733415
253,-0.11891511,0.04166602,-0.12952590,-1.54752767,0.30892140,1.33604670,0.58852297
254,-0.36850134,0.08181682,-0.32466358,-1.66043603,0.18138948,1.34857631,0.12042475
255,-0.11712666,-0.38413972,-0.28095359,-1.94935215,0.20393498,1.27280343,0.47924346
256,-0.02221008,-0.62320805,-0.20468527,-2.05754876,0.25025478,1.17140996,0.68353194
257,0.01843829,-0.57840335,-0.13703910,-1.99682510,0.28366041,1.17440176,0.78875923
258,-0.20788252,-0.31365979,-0.36756140,-1.92118430,0.12281166,1.26637673,0.28731215
259,-0.05789703,-0.42245349,-0.17021662,-1.93329203,0.27320811,1.23460591,0.65494698
260,-0.38980970,-0.06632897,-0.46681678,-1.83914185,0.06710443,1.37672246,-0.02690002
261,-0.05211952,-0.24425486,-0.12440733,-1.78834426,0.32495937,1.29343462,0.69341618
262,-0.07474013,-0.17234839,-0.12140922,-1.74019110,0.32079762,1.31434286,0.66208273
263,-0.12956494,-0.29838657,-0.25146651,-1.88225234,0.22218890,1.29356909,0.47530633
264,-0.21039401,-0.43250263,-0.41430181,-2.02020383,0.07511833,1.23941576,0.26336515
265,-0.08925895,-0.25792623,-0.14975938,-1.80288613,0.30401316,1.27672625,0.64242214
266,-0.19645315,0.00983486,-0.19813180,-1.63128614,0.27233535,1.33416426,0.42879862
267,0.01413062,-0.14298381,-0.02081256,-1.62160599,0.37892014,1.28686142,0.87139648
268,-0.19294542,-0.04827541,-0.22871628,-1.68833339,0.25252637,1.32834494,0.40284872
269,-0.17620343,-0.10677897,-0.22542790,-1.73307455,0.24261861,1.33451450,0.44728321
270,-0.11450085,-0.11564936,-0.17325172,-1.71093976,0.29135695,1.32038558,0.55436248
271,0.10617995,-0.03211745,0.12422077,-1.40982020,0.44199482,1.29034483,1.11832452
272,0.11942640,-0.12837039,0.06968296,-1.51626027,0.42631492,1.29807854,1.12730634
273,-0.11563691,-0.07586148,-0.15675697,-1.66443431,0.29984537,1.31567252,0.57372731
274,-0.10679722,-0.56864440,-0.27436936,-2.06957316,0.18733284,1.19247854,0.53088152
275,0.04785548,-0.01500563,0.03677570,-1.48552406,0.40175357,1.30435097,0.93577534
276,-0.09407431,0.03789474,-0.09078004,-1.52672327,0.31288204,1.31469119,0.63901287
277,-0.19009182,-0.32227737,-0.32152522,-1.91375124,0.16199332,1.28657234,0.34971952
278,-0.05952547,-0.17456153,-0.12602213,-1.72401237,0.32527021,1.30652845,0.67333859
279,-0.12098561,-0.35918385,-0.28591126,-1.91694295,0.19316591,1.25996864,0.46921992
280,-0.06829713,-0.02162698,-0.07692298,-1.57834589,0.33828101,1.34069002,0.69427007
281,-0.03132598,-0.01137781,-0.02687500,-1.50913441,0.36892727,1.32439184,0.79698819
282,-0.15690573,-0.32726881,-0.29805297,-1.90717638,0.18231359,1.26236165,0.41031271
283,0.04357652,-0.36758322,-0.03995162,-1.79103494,0.37591299,1.25024354,0.92145628
284,0.14281783,-0.19137134,0.11628050,-1.52669656,0.44539687,1.25926208,1.17577910
285,0.02355069,-0.18555579,-0.01489965,-1.65631092,0.38099208,1.28101289,0.89439613
286,-0.22753981,-0.21516086,-0.38695645,-1.86869395,0.12539007,1.31684625,0.21536468
287,-0.05258642,-0.59238547,-0.22202355,-2.04890633,0.22182862,1.17034864,0.64622217
288,0.00594808,-0.29149410,-0.06595332,-1.76124561,0.35205391,1.26236451,0.83969897
289,-0.24240316,-0.30418658,-0.41684514,-1.95357239,0.09502685,1.27622306,0.20009618
290,0.10691340,-0.31253380,0.07839024,-1.65519392,0.43323770,1.25134718,1.11572289
291,-0.21050951,-0.22165261,-0.31814784,-1.86210322,0.17185526,1.30122554,0.32100630
292,-0.16249149,-0.01323609,-0.15837237,-1.64393842,0.29928499,1.33838308,0.49699247
293,0.00221765,-0.23657303,-0.06304861,-1.72111428,0.34913543,1.27400017,0.81943113
